Player,Nation,Gls,Ast,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,SCA,Cmp,CmpPercent,ProgPass,Carries,Prog,Succ
Phil Foden,eng ENG,0,0,4,1,43,23,3,0,1,0.2,4,20,69,2,25,4,2
Jack Grealish,eng ENG,0,0,1,0,58,13,1,3,3,0,9,40,85.1,7,43,15,1
Riyad Mahrez,dz ALG,2,0,8,4,54,7,0,1,1,1,1,41,95.3,1,37,6,2
Bernardo Silva,pt POR,0,1,3,0,90,15,1,2,2,0.4,6,69,88.5,2,64,12,3
Kevin De Bruyne,be BEL,2,1,6,4,58,8,0,0,1,1,6,42,87.5,6,32,11,0
Ilkay Gündogan,de GER,0,1,1,0,19,1,0,0,0,0.3,3,16,94.1,2,15,4,1
Rodri,es ESP,0,0,0,0,105,4,2,1,3,0,4,92,93.9,4,68,4,0
João Cancelo,pt POR,0,0,1,1,103,14,5,3,1,0,1,71,86.6,7,69,5,3
Aymeric Laporte,es ESP,0,0,0,0,102,5,1,0,1,0,1,94,95.9,8,67,5,0
John Stones,eng ENG,0,0,0,0,102,3,1,0,1,0,0,91,92.9,2,75,1,0
Kyle Walker,eng ENG,0,0,0,0,87,5,0,1,0,0,1,77,95.1,3,64,7,1
Ederson,br BRA,0,0,0,0,49,0,0,0,0,0,0,43,95.6,0,30,0,0
Bruno Fernandes,pt POR,0,0,1,0,40,20,0,0,2,0,2,21,65.6,1,30,2,1
Jadon Sancho,eng ENG,1,0,2,1,33,9,1,1,1,0.2,2,19,82.6,1,24,3,2
Anthony Elanga,se SWE,0,0,0,0,37,21,3,2,1,0,0,23,88.5,3,33,3,0
Jesse Lingard,eng ENG,0,0,0,0,2,4,0,0,0,0,0,2,100,1,2,0,0
Paul Pogba,fr FRA,0,1,0,0,30,14,0,1,0,0,1,18,75,3,24,2,0
Marcus Rashford,eng ENG,0,0,0,0,8,8,0,0,0,0,0,3,50,0,4,1,0
Fred,br BRA,0,0,1,1,36,24,1,4,3,0.2,1,25,86.2,3,24,2,2
Scott McTominay,sct SCO,0,0,0,0,55,24,7,2,3,0,1,32,86.5,3,26,2,1
Alex Telles,br BRA,0,0,1,0,42,8,2,2,0,0.1,0,24,75,2,26,3,1
Harry Maguire,eng ENG,0,0,0,0,42,10,2,0,3,0,0,28,90.3,2,21,1,0
Victor Lindelöf,se SWE,0,0,0,0,44,7,0,2,2,0,0,35,87.5,2,29,1,0
Aaron Wan-Bissaka,eng ENG,0,0,0,0,51,9,1,5,4,0,0,27,65.9,1,37,3,3
David de Gea,es ESP,0,0,0,0,31,0,0,0,0,0,0,21,77.8,0,12,0,0
